documento,paginas_word,paginas_libreoffice,ssim_promedio,fidelidad_visual,conservacion_paginacion,indice_cross_engine
ACTA DE ENTREGA RECEPCIÓN.docx,3,3,0.7831,78.3,100.0,89.2
CÓDIGO DE CONDUCTA  2025_vfinal.docx,11,12,0.8352,83.5,90.9,87.2
INEN-DNO-2026-0160-CIR.docx,16,16,0.9561,95.6,100.0,97.8
InformeNecesidad_CTIIJN03422026signedsigned_signed.docx,8,8,0.8534,85.3,100.0,92.7
INFROME DE CONFORMIDAD.docx,2,2,0.9028,90.3,100.0,95.2
NTE INEN-ISO 2859-1_EXTRACTO.docx,12,12,0.9639,96.4,100.0,98.2
OrdenCompra_IC-ESPOL-047-2026-signed-signed.docx,5,5,0.7464,74.6,100.0,87.3
solicitud_CTI-2026-317.docx,1,2,0.831,83.1,0.0,41.5
VERIFICACION-CATE-signed.docx,2,2,0.8589,85.9,100.0,93.0
VERIFICACION-PAC-signed.docx,2,2,0.8391,83.9,100.0,92.0
