documento,paginas_word,paginas_libreoffice,ssim_promedio,fidelidad_visual,conservacion_paginacion,indice_cross_engine
ACTA DE ENTREGA RECEPCIÓN.docx,3,3,0.8382,83.8,100.0,91.9
CÓDIGO DE CONDUCTA  2025_vfinal.docx,11,12,0.8256,82.6,90.9,86.8
INEN-DNO-2026-0160-CIR.docx,16,16,0.9599,96.0,100.0,98.0
INFROME DE CONFORMIDAD.docx,2,2,0.8465,84.7,100.0,92.3
InformeNecesidad_CTIIJN03422026signedsigned_signed.docx,8,8,0.876,87.6,100.0,93.8
NTE INEN-ISO 2859-1_EXTRACTO.docx,12,12,0.9684,96.8,100.0,98.4
OrdenCompra_IC-ESPOL-047-2026-signed-signed.docx,5,5,0.8159,81.6,100.0,90.8
VERIFICACION-CATE-signed.docx,2,3,0.7488,74.9,50.0,62.5
VERIFICACION-PAC-signed.docx,2,4,0.6287,62.9,0.0,31.4
solicitud_CTI-2026-317.docx,1,2,0.8272,82.7,0.0,41.4
